source_frame,timestamp_seconds,detected,class_name,confidence,x_center,y_center,width,height,x_min,y_min,x_max,y_max
63,1.051050,True,Squash-Line-Calling,0.413182,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
64,1.067733,True,Squash-Line-Calling,0.416732,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
65,1.084417,True,Squash-Line-Calling,0.428313,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
66,1.101100,True,Squash-Line-Calling,0.424920,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
67,1.117783,True,Squash-Line-Calling,0.445139,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
68,1.134467,True,Squash-Line-Calling,0.426559,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
69,1.151150,True,Squash-Line-Calling,0.419803,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
70,1.167833,True,Squash-Line-Calling,0.411118,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
71,1.184517,True,Squash-Line-Calling,0.403308,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
72,1.201200,True,Squash-Line-Calling,0.404806,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
73,1.217883,True,Squash-Line-Calling,0.405052,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
74,1.234567,True,Squash-Line-Calling,0.377031,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
75,1.251250,True,Squash-Line-Calling,0.380851,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
76,1.267933,True,Squash-Line-Calling,0.381328,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
77,1.284617,True,Squash-Line-Calling,0.378074,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
78,1.301300,True,Squash-Line-Calling,0.417280,1320.000,406.000,8.000,8.000,1316.000,402.000,1324.000,410.000
79,1.317983,True,Squash-Line-Calling,0.646870,1330.000,408.000,8.000,8.000,1326.000,404.000,1334.000,412.000
80,1.334667,True,Squash-Line-Calling,0.652419,1340.000,410.000,8.000,8.000,1336.000,406.000,1344.000,414.000
81,1.351350,True,Squash-Line-Calling,0.548169,1349.000,414.000,10.000,8.000,1344.000,410.000,1354.000,418.000
82,1.368033,True,Squash-Line-Calling,0.455026,1361.000,418.000,10.000,8.000,1356.000,414.000,1366.000,422.000
83,1.384717,True,Squash-Line-Calling,0.545463,1374.000,422.000,8.000,8.000,1370.000,418.000,1378.000,426.000
84,1.401400,True,Squash-Line-Calling,0.675988,1385.000,426.000,10.000,8.000,1380.000,422.000,1390.000,430.000
85,1.418083,True,Squash-Line-Calling,0.420980,1398.000,432.000,8.000,8.000,1394.000,428.000,1402.000,436.000
86,1.434767,True,Squash-Line-Calling,0.681622,1411.000,438.000,10.000,8.000,1406.000,434.000,1416.000,442.000
87,1.451450,True,Squash-Line-Calling,0.457108,1426.000,446.000,8.000,8.000,1422.000,442.000,1430.000,450.000
88,1.468133,True,Squash-Line-Calling,0.482719,1441.000,453.000,10.000,6.000,1436.000,450.000,1446.000,456.000
89,1.484817,True,Squash-Line-Calling,0.383453,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
90,1.501500,True,Squash-Line-Calling,0.386650,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
91,1.518183,True,Squash-Line-Calling,0.382178,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
92,1.534867,True,Squash-Line-Calling,0.389245,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
93,1.551550,True,Squash-Line-Calling,0.376281,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
94,1.568233,True,Squash-Line-Calling,0.697318,1554.000,523.000,12.000,10.000,1548.000,518.000,1560.000,528.000
95,1.584917,True,Squash-Line-Calling,0.522723,1578.000,539.000,12.000,10.000,1572.000,534.000,1584.000,544.000
96,1.601600,True,Squash-Line-Calling,0.725660,1604.000,556.000,12.000,12.000,1598.000,550.000,1610.000,562.000
97,1.618283,True,Squash-Line-Calling,0.663421,1631.000,576.000,14.000,12.000,1624.000,570.000,1638.000,582.000
98,1.634967,True,Squash-Line-Calling,0.424081,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
99,1.651650,True,Squash-Line-Calling,0.673510,1692.000,625.000,12.000,10.000,1686.000,620.000,1698.000,630.000
100,1.668333,True,Squash-Line-Calling,0.502971,1727.000,653.000,14.000,14.000,1720.000,646.000,1734.000,660.000
101,1.685017,True,Squash-Line-Calling,0.424168,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
102,1.701700,True,Squash-Line-Calling,0.749839,1812.000,719.000,16.000,18.000,1804.000,710.000,1820.000,728.000
103,1.718383,True,Squash-Line-Calling,0.794254,1860.000,759.000,20.000,18.000,1850.000,750.000,1870.000,768.000
104,1.735067,True,Squash-Line-Calling,0.434987,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
105,1.751750,True,Squash-Line-Calling,0.437096,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
106,1.768433,True,Squash-Line-Calling,0.440946,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
107,1.785117,True,Squash-Line-Calling,0.437352,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
108,1.801800,True,Squash-Line-Calling,0.435623,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
109,1.818483,True,Squash-Line-Calling,0.431610,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
